"","recordTime","cognitoId","device","sensorname","alpha","beta","gamma"
"37",1423452129.117,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",355.222421205442,24.5489221185915,-14.0106066176316
"38",1423452129.452,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",355.13139550972,31.3015733259716,-17.5031861050435
"39",1423452129.788,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",354.07846395409,22.2060437962878,5.8068210596051
"40",1423452130.122,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",356.22059194204,13.1215818207736,19.6148646917697
"41",1423452130.457,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",348.286181560169,19.6290565527769,22.8060336415629
"42",1423452130.792,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",345.53421214908,29.2916508649547,11.4958460956187
"43",1423452131.126,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",339.950677501756,23.3412192103089,5.33937565354875
"44",1423452131.46,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",328.860424212212,19.4046506081932,5.9095863069009
"45",1423452131.795,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",321.113680547429,21.5486321411568,5.1796348641033
"46",1423452132.128,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",316.704746493034,24.9368871805439,5.07242271996429
"47",1423452132.462,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",311.866546160785,19.9368224851644,8.57879678696528
"48",1423452132.796,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",308.9943171276,20.051310343445,10.5534014505432
