"","recordTime","cognitoId","device","sensorname","lat","long"
"43",1423452131.126,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102707582436,-122.33319254234
"44",1423452131.46,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102707582436,-122.33319254234
"45",1423452131.795,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102707582436,-122.33319254234
"46",1423452132.128,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610208954528,-122.33316027421
"47",1423452132.462,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102156337292,-122.333192743141
"48",1423452132.796,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102177989304,-122.333202859198
"49",1423452133.13,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102182354475,-122.333204942996
"50",1423452133.466,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102184418093,-122.333206926472
"51",1423452133.8,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102187421303,-122.333207116847
"52",1423452134.138,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102187111645,-122.333207102545
"53",1423452134.471,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102188373802,-122.333207161865
"54",1423452134.807,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102187501119,-122.333207120851
"55",1423452135.142,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102186633322,-122.333207080068
"56",1423452135.476,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218731166,-122.333207111947
"57",1423452135.811,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218747087,-122.33320711943
"58",1423452136.148,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102188405518,-122.333207163355
"59",1423452136.482,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218847123,-122.333207166443
"60",1423452136.815,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"61",1423452137.149,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"62",1423452137.483,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"63",1423452137.816,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"64",1423452138.171,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"65",1423452138.506,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"66",1423452138.84,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"67",1423452139.174,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"68",1423452139.508,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"69",1423452139.842,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"70",1423452140.178,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"71",1423452140.512,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"72",1423452140.847,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"73",1423452141.181,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"74",1423452141.517,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"75",1423452141.852,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"76",1423452142.186,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"77",1423452142.521,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"78",1423452142.855,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"79",1423452143.192,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102408968958,-122.333280604588
"80",1423452143.526,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6101967582933,-122.333132931582
"81",1423452143.859,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610196665818,-122.333131330338
